1,2019,202001,202002,202003,202004,202005,202006,202007,202008
2,28,-15,-12,-3,3,14,-7,6,-8
3,2,-2,-2,-2,-2,-2,-1,13,22
4,0,0,0,0,0,0,0,0,0
5,4,-4,-2,-2,0,-3,0,-1,5
6,0,2,0,0,0,1,0,0,1
7,135,-27,-70,-53,-17,-46,-32,34,-43
8,189,-9,-76,8,23,-28,12,22,1
9,1,0,0,-1,0,1,-1,0,0
10,12,16,-7,-8,0,0,-3,9,-7
11,14,-4,-4,-8,-5,14,14,-8,-4
12,46,-10,12,-15,-18,-19,-6,-22,-10
13,40,-27,-4,47,14,12,-1,-3,2
14,193,-90,-45,-54,-34,-48,-62,-54,-2
15,43,-22,47,-31,-7,1,-20,-21,4
16,4,-1,1,-3,0,-1,-3,1,-1
17,133,1,-58,-3,-49,-14,0,12,11
18,2571,334,-691,-753,-769,-373,-323,-251,-619
19,240,-8,72,-9,-37,-2,-147,-66,8
20,144,-28,-22,-25,-46,-29,-6,-25,-15
21,577,-203,-178,58,212,-136,-4,170,-26
22,0,0,0,0,0,0,0,0,0
23,10,-6,4,-7,-9,-4,-7,-6,-7
24,17,-9,-6,-4,-6,-9,-8,-9,-9
25,0,0,0,0,0,0,0,0,0
26,1,-1,-1,0,0,0,0,0,1
27,15,-2,-13,-12,-5,-1,-6,-10,-9
28,5,11,-6,-2,-2,-2,-1,1,-3
29,163,-7,-73,-50,-75,-54,-37,-20,-21
30,4712,-191,-153,266,67,-68,287,485,-642
31,52,48,-46,-13,-34,-31,50,61,54
32,5,-3,4,18,18,14,12,34,25
33,0,0,0,0,0,0,0,0,0
34,1241,-210,-342,-214,-135,-117,-145,54,-200
35,58,-19,20,13,3,20,-10,-3,-28
36,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0
38,20,-14,-9,-4,-2,-8,-2,10,-5
39,1,0,0,-1,-1,-1,-1,-1,-1
40,0,0,0,0,0,0,0,0,0
41,128,-59,-41,-33,101,8,35,59,-17
42,10,5,0,-7,-3,3,2,3,7
43,9,-5,0,-3,1,-5,5,-2,-6
44,158,-61,-62,-47,-56,-93,-13,-68,-31
45,394,-232,-255,-181,-91,-179,-67,-13,-191
46,95,23,0,-36,22,-34,4,14,-29
47,8,-4,-4,-7,-3,-4,6,-4,-4
48,2225,-1076,-882,-808,-940,-876,-486,-752,-929
49,398,-53,-157,-143,-112,-154,-139,-163,-120
50,75,-16,-30,-14,-22,-27,13,0,-25
51,276,-14,-64,-18,-71,-71,-103,-44,-100
52,52,-19,-19,-27,-10,-6,88,0,-28
53,0,0,0,0,0,0,0,0,0
54,70,-12,-11,-11,-11,-32,-5,-9,-46
55,76,-11,18,-19,-28,-20,-10,16,5
56,0,0,0,0,0,0,0,1,0
57,0,0,1,0,0,0,0,1,0
58,373,-17,4,18,41,7,150,185,25
59,3,0,-2,0,3,0,-1,-3,2
60,47,-4,-21,-8,-3,2,3,6,2
61,0,2,0,0,0,1,1,0,0
62,2,-1,1,6,0,1,-1,-2,-2
63,197,-34,-94,-32,-87,-79,-59,32,-18
64,2060,-686,-742,-354,-266,-756,-739,-670,-777
65,972,-584,-589,-156,-122,-652,-757,-729,-674
66,33,-17,11,-22,-22,-12,-8,1,-18
67,17,0,-10,-1,-10,-14,-8,-8,5
68,2,-1,-2,0,1,1,0,2,-2
69,1559,-1419,-1203,-967,-711,-580,-568,-836,-1071
70,26,-14,-11,13,8,14,5,-10,2
71,8,-2,-3,2,5,3,-2,3,0
72,571,9,141,-34,-164,4,-19,-11,-156
73,14,-4,5,8,1,1,-4,10,-2
74,23,-7,-15,-6,6,17,2,-17,-5
75,816,-242,-372,-335,-236,-203,-141,-15,-232
76,172,-31,-46,-80,-70,-28,-19,-55,-66
77,126,-16,-7,-5,-11,66,-9,-28,-41
78,3,17,1,-3,-1,-3,-2,0,-1
79,0,1,0,0,0,0,0,0,0
80,8,-5,-3,-5,-6,-4,2,6,1
81,3,4,3,0,-2,-3,0,-1,-1
82,107,-24,-28,-64,-68,-79,-63,-53,-43
83,2,-2,1,0,-2,5,-1,-1,5
84,8,-3,-4,1,-5,-6,-2,0,-1
85,7,5,-3,-3,3,-7,-3,-3,-4
86,7076,-1071,-1328,-142,-461,-448,143,235,-662
87,1,-1,-1,0,0,1,0,0,1
88,1,-1,-1,-1,4,-1,-1,-1,-1
89,0,0,0,0,0,0,0,0,0
90,14,-8,-8,-4,-10,-3,-5,-8,-5
91,0,0,0,0,0,0,0,0,0
92,6,4,-5,-5,-2,-3,-2,0,-5
93,2,-2,-1,-1,0,1,3,1,-1
94,0,0,0,0,0,0,0,0,0
95,14,2,-3,1,3,0,16,1,-2
96,942,-339,-296,167,108,22,343,129,-229
97,0,0,0,3,0,0,0,0,0
98,41,-2,-25,57,-18,-17,39,33,56
99,268,-22,-133,-137,-80,-9,-9,-21,-78
100,40,-8,-19,-8,-18,-1,17,32,-16
101,0,0,0,0,0,0,0,0,0
102,6,-2,-5,-6,-2,-5,2,-4,-3
103,40,18,-2,0,6,23,3,-3,2
104,0,0,0,0,0,0,0,1,1
105,2,-1,5,1,-1,-2,-1,-1,0
106,187,-41,-76,-60,-64,-25,-33,40,-52
107,244,-43,-65,57,50,73,34,2,-33
108,0,0,0,0,0,0,0,0,0
109,23,-3,-2,10,3,20,16,3,26
110,0,0,0,0,0,0,0,0,0
111,0,0,0,0,2,0,0,0,1
112,9,2,0,-4,-4,-1,-3,8,2
113,56,-16,-25,-20,-25,16,1,-3,15
114,0,0,0,0,0,0,0,0,0
115,89,-8,-48,51,-1,-25,-23,-5,-26
116,2,3,-2,-2,-1,-2,1,-2,-1
117,5,-4,-1,2,-2,1,-2,-2,-1
118,0,0,0,0,0,0,0,0,0
119,79,-32,-42,-39,-20,-9,-18,-26,-33
120,0,0,0,0,0,0,0,0,1
121,21,-1,30,42,-22,-14,-15,-18,-13
122,1,0,0,1,-1,-1,2,2,-1
123,56,5,-30,58,106,8,130,0,65
124,2,2,-2,0,-1,-2,-1,-2,0
125,0,0,0,0,0,0,0,0,0
126,1140,-334,-252,203,1193,406,133,-45,-406
127,0,0,0,6,41,1,3,-2,-1
128,0,0,0,0,0,0,0,0,0
129,3,0,-2,-1,-2,0,-2,-3,-2
130,4,-2,1,2,1,0,3,4,0
131,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0
133,3,-3,-2,1,-2,-3,-2,-2,-1
134,5,-2,-4,-4,3,-5,1,4,-2
135,0,1,2,0,1,0,3,0,0
136,2,9,1,-3,1,-3,-3,-3,-2
137,294,-24,-84,31,8,-53,-87,-59,13
138,40,11,-8,44,-27,1,13,6,-8
139,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0
141,0,0,0,1,0,1,0,0,0
142,93,23,-48,-18,-17,-63,-28,-38,-34
143,98,11,3,17,17,140,39,31,-35
144,79,-30,-25,-22,-30,-10,-16,6,-15
145,2,-2,11,-1,-3,-2,-1,-1,-2
146,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0
148,4,-2,-2,1,-1,-2,2,-1,4
149,0,0,0,0,0,0,0,0,0
150,6,-4,3,-2,-1,-2,-1,-3,-2
151,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0
153,6,-3,12,-7,7,6,-1,4,-6
154,147,24,-48,-5,181,-59,84,42,-56
155,79,-9,38,25,67,49,-44,-10,-6
156,465,-153,-102,-103,-85,-80,137,255,161
157,0,0,0,1,0,0,1,1,0
158,0,0,1,0,0,0,2,2,-1
159,3,-1,-3,-3,1,1,-3,11,-1
160,0,0,0,0,0,0,0,0,0
161,93,-6,-19,-23,29,-22,16,24,-32
162,51,-17,-12,524,451,167,82,63,-44
163,2,-2,-2,-1,-2,-2,-1,-2,0
164,125,-41,-27,145,-76,-102,1,-62,-40
165,0,0,0,0,0,0,0,0,0
166,8,-1,-3,11,-5,-6,0,1,-7
